Name,Aria Speed,Bard Speed,Bolt Speed,Cad Speed,Dia Speed,Dor Speed,Dove Speed,Eli Speed,Mary Speed,Mel Speed,Monk Speed,Noc Speed,Tempo Speed,Coda Speed,Story Speed,9char Speed,13char Speed,Aria Hard Speed,Bard Hard Speed,Bolt Hard Speed,Cad Hard Speed,Dia Hard Speed,Dor Hard Speed,Dove Hard Speed,Eli Hard Speed,Mary Hard Speed,Mel Hard Speed,Monk Hard Speed,Noc Hard Speed,Tempo Hard Speed,Coda Hard Speed,Aria NR Speed,Bard NR Speed,Bolt NR Speed,Cad NR Speed,Dia NR Speed,Dor NR Speed,Dove NR Speed,Eli NR Speed,Mary NR Speed,Mel NR Speed,Monk NR Speed,Noc NR Speed,Tempo NR Speed,Coda NR Speed,Aria Rando Speed,Bard Rando Speed,Bolt Rando Speed,Cad Rando Speed,Dia Rando Speed,Dor Rando Speed,Dove Rando Speed,Eli Rando Speed,Mary Rando Speed,Mel Rando Speed,Monk Rando Speed,Noc Rando Speed,Tempo Rando Speed,Coda Rando Speed,Aria Phasing Speed,Bard Phasing Speed,Bolt Phasing Speed,Cad Phasing Speed,Dia Phasing Speed,Dor Phasing Speed,Dove Phasing Speed,Eli Phasing Speed,Mary Phasing Speed,Mel Phasing Speed,Monk Phasing Speed,Noc Phasing Speed,Tempo Phasing Speed,Coda Phasing Speed,Aria Mystery Speed,Bard Mystery Speed,Bolt Mystery Speed,Cad Mystery Speed,Dia Mystery Speed,Dor Mystery Speed,Dove Mystery Speed,Eli Mystery Speed,Mary Mystery Speed,Mel Mystery Speed,Monk Mystery Speed,Noc Mystery Speed,Tempo Mystery Speed,Coda Mystery Speed,Aria Score,Bard Score,Bolt Score,Cad Score,Dia Score,Dor Score,Dove Score,Eli Score,Mary Score,Mel Score,Monk Score,Noc Score,Tempo Score,Coda Score,Story Score,9char Score,13char Score,Aria Hard Score,Bard Hard Score,Bolt Hard Score,Cad Hard Score,Dia Hard Score,Dor Hard Score,Dove Hard Score,Eli Hard Score,Mary Hard Score,Mel Hard Score,Monk Hard Score,Noc Hard Score,Tempo Hard Score,Coda Hard Score,Aria NR Score,Bard NR Score,Bolt NR Score,Cad NR Score,Dia NR Score,Dor NR Score,Dove NR Score,Eli NR Score,Mary NR Score,Mel NR Score,Monk NR Score,Noc NR Score,Tempo NR Score,Coda NR Score,Aria Rando Score,Bard Rando Score,Bolt Rando Score,Cad Rando Score,Dia Rando Score,Dor Rando Score,Dove Rando Score,Eli Rando Score,Mary Rando Score,Mel Rando Score,Monk Rando Score,Noc Rando Score,Tempo Rando Score,Coda Rando Score,Aria Phasing Score,Bard Phasing Score,Bolt Phasing Score,Cad Phasing Score,Dia Phasing Score,Dor Phasing Score,Dove Phasing Score,Eli Phasing Score,Mary Phasing Score,Mel Phasing Score,Monk Phasing Score,Noc Phasing Score,Tempo Phasing Score,Coda Phasing Score,Aria Mystery Score,Bard Mystery Score,Bolt Mystery Score,Cad Mystery Score,Dia Mystery Score,Dor Mystery Score,Dove Mystery Score,Eli Mystery Score,Mary Mystery Score,Mel Mystery Score,Monk Mystery Score,Noc Mystery Score,Tempo Mystery Score,Coda Mystery Score,Aria DL,Bard DL,Bolt DL,Cad DL,Dia DL,Dor DL,Dove DL,Eli DL,Mary DL,Mel DL,Monk DL,Noc DL,Tempo DL,Coda DL
Bgm,1,14,9,14,15,15,5,12,14,10,15,13,13,38,12,19,14,2,6,6,6,5,5,6,4,7,3,9,6,4,0,1,5,5,3,4,3,5,5,7,3,8,4,7,0,2,7,6,2,3,4,4,4,8,3,4,4,8,0,3,4,7,8,7,5,5,3,7,3,6,5,9,28,2,5,1,6,5,1,5,3,4,3,3,7,4,0,1053,3104,140,683,1828,648,3610,299,898,2260,1450,3437,1498,55,473,243,39,8,960,42,304,158,43,19,75,20,257,21,2076,97,0,20,746,11,102,67,20,56,26,20,36,19,61,16,0,29,2199,78,1750,379,44,96,162,17,259,28,1907,13,0,39,1241,45,866,151,12,460,71,52,306,60,115,19,22,13,790,15,382,90,11,113,128,6,80,20,123,27,0,36,0,19,0,0,0,0,0,0,0,0,0,0,0
Mizmy,27,9,17,36,36,30,18,6,12,29,20,26,15,32,17,10,22,13,9,14,13,6,16,22,7,12,22,8,5,10,0,23,12,8,17,7,12,13,4,12,13,10,6,6,0,14,14,7,6,24,19,19,6,11,29,9,12,4,0,9,15,18,10,19,8,31,8,8,21,11,12,5,0,11,14,4,20,3,6,11,2,5,6,7,4,3,0,34,14,9,53,13,7,15,12,13,10,27,13,9,56,25,15,8,18,259,46,932,56,48,55,80,123,467,11,641,75,17,19,605,22,1598,51,21,37,33,0,40,25,74,29,27,42,1948,7,4,306,48,87,77,0,527,27,1768,16,9,32,967,69,108,2,35,581,40,110,354,67,855,36,48,11,3,2,918,142,9,76,121,0,246,9,34,31,15,27,115,16,214,14,10,17,2,17,36,44,0,33,32
Nominozo,9,8,23,2,8,4,16,8,6,6,10,4,9,12,4,59,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,214,2581,227,1664,1228,902,4732,1120,107,516,418,655,278,43,590,214,235,0,0,0,0,0,0,0,0,0,0,0,4312,0,0,0,0,0,841,0,0,0,0,0,0,0,0,0,0,0,0,0,2927,0,0,68,0,0,0,0,0,0,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,114,0,0,0,405,0,0,231,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0
biggiemac42,28,32,18,24,33,39,24,20,34,38,18,24,24,15,16,15,21,0,915,11,0,20,27,0,17,0,0,0,31,0,0,0,26,0,140,18,0,0,17,21,0,13,0,0,0,0,31,84,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,41,0,0,0,17,0,0,0,0,0,0,13,10,5,4,7,3,9,6,14,12,13,5,10,16,3,5,4,131,3,52,1472,131,23,176,3,0,0,0,2545,162,33,42,628,40,1303,44,43,0,16,19,0,17,0,0,6,0,2,6,0,0,0,0,0,66,1521,0,750,0,26,0,4,0,0,0,55,78,0,111,0,0,0,0,86,0,1387,0,183,496,0,0,83,33,0,26,0,0,35,12,12,3,474,22,17,52,21,42,0,31,0,76,16
Drigallski,148,200,222,197,93,127,79,57,88,89,98,137,36,0,82,201,79,41,620,45,68,57,48,46,68,22,238,20,2688,101,0,27,512,27,1263,86,25,31,19,25,46,22,79,25,0,28,1324,79,19,22,51,41,21,24,378,22,947,6,0,40,994,72,1007,272,35,72,183,27,448,29,484,30,0,22,594,49,553,152,25,31,106,16,23,18,245,25,0,6,9,6,14,9,6,20,2,8,1,9,10,1,226,11,6,6,12,5,57,68,32,3,37,6,31,1,24,3,2,0,12,5,28,237,3,9,50,15,21,3,16,73,31,0,25,3,3,1,1,3,13,1,7,1,1,1,1,0,14,2,4,5,5,4,6,1,7,2,17,2,1,0,28,2,4,3,2,3,29,1,7,2,17,3,10,0,10,3,14,8,3,2,19,6,30,7,41,5,8,49
Ancalagor,26,23,27,29,45,47,17,22,10,19,14,47,43,0,11,17,10,40,0,0,10,0,7,5,0,0,0,0,2488,0,0,26,0,0,8,0,0,3,0,10,0,0,0,0,0,0,805,0,9,0,0,2,0,0,0,0,0,0,0,11,18,0,7,0,0,9,0,0,0,0,0,0,0,7,48,0,17,0,0,2,0,0,0,0,0,0,0,45,3,73,39,10,23,7,23,39,33,32,9,32,155,13,3,7,46,0,0,822,0,36,3,0,0,0,0,1666,0,0,11,791,0,1019,0,0,26,0,24,312,20,0,0,0,75,2255,0,1910,0,124,2,0,20,0,0,0,185,0,24,1534,0,1201,0,28,3,0,0,0,247,0,0,156,14,923,0,412,0,0,2,0,0,0,0,0,0,0,6,28,61,483,0,21,3,3,4,32,37,41,16,50
DLKurosh,614,21,22,56,35,121,27,835,226,957,582,198,277,1,326,62,81,0,0,0,0,0,0,0,0,0,0,0,903,0,1,25,0,0,928,0,0,0,0,0,0,0,0,0,1,0,0,0,674,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,159,0,0,0,3,0,0,0,206,0,0,0,0,0,0,0,0,0,1,98,68,119,4876,1050,1414,58,978,672,289,902,1668,83,2,471,103,37,100,0,0,0,0,0,0,0,0,0,0,1020,0,2,22,0,60,1331,0,0,0,0,0,115,0,0,0,1,84,0,194,2304,0,0,0,0,0,0,0,0,0,1,159,2296,26,1859,517,0,0,0,0,185,0,0,0,10,0,0,0,298,0,0,0,0,0,0,0,0,0,1,2,0,1,60,0,0,0,0,20,0,29,0,0,1
encryptid,23,17,14,17,29,25,10,14,13,16,34,25,27,0,18,0,11,0,8,7,7,0,0,3,6,13,4,0,8,7,0,0,6,7,5,8,4,4,6,16,5,0,7,5,0,0,16,14,0,0,0,3,0,7,11,0,0,5,0,2,9,5,4,6,2,1,4,3,5,7,3,8,0,0,0,10,27,0,0,0,0,9,4,0,0,0,0,47,563,14,2936,31,15,81,29,29,54,1486,43,11,202,511,436,69,0,1071,43,440,0,0,91,62,32,61,0,2175,55,0,0,253,14,767,62,12,118,18,15,11,0,54,6,63,45,1827,50,0,0,0,138,0,14,576,0,0,15,0,15,1064,22,407,140,13,158,56,22,292,38,102,34,37,0,900,18,585,0,40,258,0,10,180,0,0,195,0,54,50,10,579,31,25,36,39,19,42,55,919,18,46
Goof,29,2,4,4,16,13,11,15,16,22,25,22,25,0,48,31,0,0,4,1,0,0,0,0,0,0,0,0,56,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,12,0,34,0,0,0,0,9,4,7,0,28,5,0,0,0,0,0,0,0,0,0,0,0,1442,0,114,1357,1516,751,3043,2495,1374,0,2963,2247,2147,60,658,293,0,0,1013,59,1249,0,54,0,0,0,0,0,4264,0,0,0,431,12,0,0,0,0,0,0,0,0,0,0,0,0,1874,74,0,0,0,0,0,0,0,0,0,0,0,0,303,18,836,236,185,861,0,0,0,0,611,45,23,0,1121,47,0,0,25,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,0,0,0,0,0,47,0,0
Shortcake,8,13,15,26,24,16,8,21,20,14,12,15,14,4,13,14,6,0,0,0,0,0,0,0,0,0,0,0,836,0,0,24,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,586,2890,197,634,1568,241,570,1140,377,629,640,1462,171,11,86,196,109,0,0,0,0,0,0,0,0,0,0,0,3976,0,95,6,0,0,220,0,0,0,0,0,0,0,0,0,10,78,0,0,1397,0,0,0,0,0,0,0,1650,0,0,354,0,0,0,0,0,1082,0,0,0,0,0,0,147,33,0,0,254,0,0,0,0,28,0,0,115,0,5,0,0,0,146,0,0,0,0,0,0,0,0,0,8
d_tea,20,26,26,30,38,27,28,23,25,25,5,12,41,18,14,13,9,0,0,0,0,0,0,0,0,0,0,1,604,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,54,0,0,0,0,0,2,0,0,0,0,0,0,292,0,0,0,0,0,0,3,0,0,0,0,0,0,160,0,0,0,0,0,0,2,0,0,0,66,0,471,706,21,759,22,20,10,30,11,53,12,18,31,173,77,125,0,0,0,0,0,77,0,0,0,26,3756,0,0,0,0,0,1132,0,0,0,0,0,0,10,0,0,0,0,0,0,0,247,0,0,0,0,0,29,0,0,0,0,0,0,1730,464,0,609,0,0,839,30,0,0,145,0,0,0,572,0,0,0,0,0,0,10,0,0,0,41,0,0,94,5,32,18,16,23,13,4,0,57,26
chaoticenigma,66,105,77,284,121,73,76,48,24,104,42,68,103,0,44,20,16,32,17,9,49,18,17,10,9,4,15,4,12,27,0,21,14,12,38,9,18,16,9,4,11,5,17,13,0,9,21,20,18,81,18,45,8,4,21,11,23,25,0,18,40,30,52,32,27,12,13,4,55,9,25,26,0,14,7,14,21,13,18,8,7,3,47,5,21,16,0,24,24,36,106,22,26,12,10,11,29,17,21,17,126,8,12,11,41,11,24,977,105,41,6,4,3,16,3,7,62,19,13,651,18,1130,2,4,90,20,3,35,2,143,10,20,15,1342,10,2070,215,31,4,98,3,9,13,1912,4,10,25,237,79,1008,302,34,156,11,2,317,26,569,49,67,20,4,23,164,149,5,4,139,2,340,6,274,2,22,8,4,26,190,16,16,7,20,1,10,2,6,7,47
yuka34,21,29,11,31,13,9,22,13,19,17,13,19,26,13,236,37,92,16,0,0,0,0,12,44,0,0,1,0,299,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,3,292,3,0,9,2,8,0,0,2,0,2,0,0,0,0,0,213,0,0,0,0,0,4,0,0,0,0,10,189,0,0,0,10,0,0,0,2,0,0,0,0,20,2765,249,61,572,693,86,2471,184,20,24,23,226,27,1227,238,138,49,0,0,1222,0,32,22,0,0,20,0,3697,0,11,0,0,0,811,0,0,0,0,0,189,0,0,0,16,17,1903,58,0,382,32,128,286,49,288,0,1474,0,5,0,0,0,1431,0,0,0,0,0,269,0,0,0,0,35,388,0,2281,0,22,0,0,0,15,0,590,159,0,17,0,0,0,0,0,0,0,12,0,0,0,50,4
TNF,84,67,62,123,32,38,58,93,56,23,90,50,60,0,22,11,15,23,48,21,47,8,14,18,20,0,40,0,14,16,0,17,32,13,19,23,22,9,22,14,24,15,12,21,0,10,84,13,79,27,20,32,23,13,47,10,25,31,0,25,73,37,20,22,15,20,31,18,53,21,37,18,12,16,44,0,53,17,17,12,12,0,27,0,31,11,0,26,123,44,163,28,9,24,18,696,74,34,147,34,259,10,10,71,23,777,38,470,111,22,56,55,0,158,0,1691,47,0,28,704,8,510,59,7,58,23,17,42,15,72,15,0,27,1579,59,2218,249,50,149,70,30,375,17,1642,36,0,9,1138,99,860,257,32,752,117,40,457,22,420,22,29,21,374,0,208,108,16,128,25,0,129,0,139,13,0,1,5,143,1,1,1,1,1,90,2,20,17,1,33
Sailo,506,270,168,169,117,134,90,151,494,252,529,77,138,0,100,99,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1674,0,0,0,0,0,0,0,0,0,0,0,50,0,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,11,7,2,2,3,20,25,14,2,15,20,3,16,68,5,8,3,0,0,0,0,0,0,0,0,0,0,0,3904,0,0,0,0,0,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,1695,0,4,0,0,0,0,0,1343,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,58,0,66,124,0,0,0,0,43,0,89,0,0,43
Plectrodancer,39,108,139,37,66,24,55,3448,61,27,110,65,11,0,32,79,54,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,2,12,39,17,8,17,67,26,4,17,1,8,51,142,80,229,146,191,0,0,0,0,0,0,0,0,0,0,3660,0,0,68,0,0,781,0,0,0,0,0,0,0,0,0,0,49,0,0,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,137,0,0,794,0,0,0,0,0,0,12,0,108,0
Nick,30,47,53,53,54,42,14,51,54,34,24,51,51,14,30,0,18,15,40,25,71,0,0,11,0,0,43,0,110,0,0,15,64,0,299,0,0,30,0,0,26,0,0,0,0,20,29,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,18,26,0,75,0,0,0,0,0,0,0,0,0,0,17,25,30,60,39,11,14,24,45,53,44,50,18,24,15,11,28,15,15,33,608,0,0,51,127,0,260,0,2455,0,0,31,8,0,1068,0,0,0,0,0,44,0,0,0,0,24,10,0,2734,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,0,0,0,0,0,0,0,0,0,0,12,28,0,440,0,0,0,0,0,0,0,0,0,0,21,29,24,35,24,20,15,23,22,34,28,28,22,18
